sign_id,method,k_used,seed,est_lat,est_lon,gt_lat,gt_lon,err_m,hit_1m,hit_2m,n_outliers_detected,outlier_idx,outlier_frames,residual_norm,n_iter,assumed_s,fallback_triggered,runtime_ms
41,l1_sor,5,0,49.016649088068725,8.353209279362192,49.01667389104093,8.353205427482317,2.7726928527925754,0,0,0,,,,31,,1,0.2321
42,l1_sor,12,0,49.01638792160515,8.353170351428057,49.01640132683856,8.353162993425078,1.584978671346139,0,1,1,0,2011_09_26_drive_0051_0000000141,3.86036,5,,0,0.967
43,l1_sor,9,0,48.980112210096145,8.404393323001727,48.98010072003008,8.404381512004727,1.5428128934582643,0,1,0,,,1.884513,2,,0,0.7732
45,l1_sor,13,0,48.958855538243235,8.405972728474117,48.95885663507571,8.405977215348424,0.35049294612565385,1,1,0,,,3.16815,2,,0,0.1328
46,l1_sor,15,0,48.94313024712091,8.40911308553437,48.94312963201558,8.409122608985903,0.7009866546983243,1,1,0,,,2.577579,2,,0,0.4983
47,l1_sor,19,0,48.943114021885734,8.409153529110007,48.94311380552018,8.409155077174894,0.11592820818370847,1,1,8,1|2|3|4|5|6|13|15,2011_09_26_drive_0059_0000000008|2011_09_26_drive_0059_0000000009|2011_09_26_drive_0059_0000000011|2011_09_26_drive_0059_0000000013|2011_09_26_drive_0059_0000000015|2011_09_26_drive_0059_0000000016|2011_09_26_drive_0059_0000000030|2011_09_26_drive_0059_0000000034,7.102709,15,,0,0.6737
48,l1_sor,19,0,48.94306279199091,8.409137857491324,48.94306486288977,8.409119633657612,1.3547091582048563,0,1,9,0|1|2|3|5|15|16|17|18,2011_09_26_drive_0059_0000000006|2011_09_26_drive_0059_0000000008|2011_09_26_drive_0059_0000000009|2011_09_26_drive_0059_0000000011|2011_09_26_drive_0059_0000000015|2011_09_26_drive_0059_0000000034|2011_09_26_drive_0059_0000000036|2011_09_26_drive_0059_0000000038|2011_09_26_drive_0059_0000000040,6.871414,15,,0,0.6396
49,l1_sor,13,0,48.94300842159694,8.409491926728352,48.94301091350838,8.409482777561662,0.7252567771077785,1,1,4,7|10|11|12,2011_09_26_drive_0059_0000000068|2011_09_26_drive_0059_0000000074|2011_09_26_drive_0059_0000000076|2011_09_26_drive_0059_0000000078,5.719043,13,,0,0.6152
50,l1_sor,13,0,48.94301136544915,8.409472090132034,48.94301039462745,8.409481569866855,0.7027826232947004,1,1,0,,,3.29841,2,,0,0.3258
51,l1_sor,13,0,48.942966393777766,8.40942131924961,48.94295561108832,8.409430032149713,1.3584152825606803,0,1,0,,,2.881309,3,,0,0.2205
52,l1_sor,11,0,48.9422482488793,8.411489580209912,48.942217287367484,8.41149040963212,3.4437230252586395,0,0,0,,,2.197026,2,,0,0.378
54,l1_sor,13,0,48.94268660734062,8.413819835114655,48.94268369423031,8.413821471125225,0.3454205523942147,1,1,0,,,3.057044,2,,0,0.2327
55,l1_sor,4,0,48.942716016023795,8.414148509555423,48.94271185426669,8.414149195405537,0.46554237677236077,1,1,0,,,,199,,1,0.9487
57,l1_sor,5,0,48.94400767261202,8.416288791987638,48.94401480267582,8.41634685837474,4.326856804458506,0,0,0,,,,33,,1,0.1679
58,l1_sor,33,0,48.94476003961776,8.417951329819314,48.944767127454554,8.41800216863239,3.806582320047998,0,0,6,1|2|4|10|22|32,2011_09_26_drive_0064_0000000395|2011_09_26_drive_0064_0000000396|2011_09_26_drive_0064_0000000398|2011_09_26_drive_0064_0000000404|2011_09_26_drive_0064_0000000416|2011_09_26_drive_0064_0000000426,7.16716,9,,0,0.414
60,l1_sor,4,0,48.94912488880969,8.413307492794651,48.94915683732388,8.413357428633521,5.099178702427684,0,0,0,,,,199,,1,0.9511
61,l1_sor,6,0,48.950817101514794,8.415072899836895,48.95084087851072,8.415059983227167,2.8083595436436175,0,0,0,,,,199,,1,0.9535
62,l1_sor,6,0,48.95088329691682,8.41515449040447,48.95089289785463,8.415138380264867,1.5913272426893041,0,1,0,,,,136,,1,0.6563
63,l1_sor,7,0,48.951238873306444,8.416829983285826,48.95122100485476,8.416797926632704,3.0759497285341486,0,0,3,0|4|6,2011_09_26_drive_0070_0000000351|2011_09_26_drive_0070_0000000355|2011_09_26_drive_0070_0000000357,4.037584,14,,0,0.175
64,l1_sor,10,0,48.99807263370262,8.4774615307272,48.998116843477796,8.477518696462667,6.455282415628975,0,0,0,,,2.484693,2,,0,0.9817
66,l1_sor,6,0,48.99916277278158,8.478520851275526,48.99917693758366,8.478558809324605,3.1931157171838076,0,0,0,,,,199,,1,0.9483
67,l1_sor,18,0,48.99908202897122,8.47322348157007,48.999082522420714,8.47323004928152,0.48370301367542834,1,1,1,17,2011_09_26_drive_0091_0000000136,4.814137,6,,0,0.3606
68,l1_sor,16,0,48.99916846825053,8.47313838198069,48.99915858009968,8.473219567344787,6.041499626393349,0,0,2,5|7,2011_09_26_drive_0091_0000000140|2011_09_26_drive_0091_0000000144,4.813186,8,,0,0.7177
69,l1_sor,10,0,48.99922284335266,8.47181258155055,48.99922841762721,8.471817071364747,0.7015886370429983,1,1,1,1,2011_09_26_drive_0091_0000000324,3.450803,6,,0,1.0107
70,l1_sor,11,0,48.998421207553065,8.468401538950864,48.998409700440135,8.468360658165338,3.253644769510592,0,0,8,0|1|2|3|7|8|9|10,2011_09_26_drive_0093_0000000133|2011_09_26_drive_0093_0000000134|2011_09_26_drive_0093_0000000135|2011_09_26_drive_0093_0000000136|2011_09_26_drive_0093_0000000140|2011_09_26_drive_0093_0000000141|2011_09_26_drive_0093_0000000142|2011_09_26_drive_0093_0000000143,5.90523,35,,0,0.3308
71,l1_sor,12,0,48.998478017987246,8.46848134040648,48.99847590077246,8.46846155724285,1.466637105412228,0,1,8,0|1|2|3|8|9|10|11,2011_09_26_drive_0093_0000000133|2011_09_26_drive_0093_0000000134|2011_09_26_drive_0093_0000000135|2011_09_26_drive_0093_0000000136|2011_09_26_drive_0093_0000000141|2011_09_26_drive_0093_0000000142|2011_09_26_drive_0093_0000000143|2011_09_26_drive_0093_0000000144,6.367491,30,,0,1.1797
72,l1_sor,26,0,48.99820085986373,8.46859755530172,48.99824903344226,8.468785922027827,14.788157869869853,0,0,24,0|1|2|3|4|5|6|7|8|9|10|11|14|15|16|17|18|19|20|21|22|23|24|25,2011_09_26_drive_0093_0000000356|2011_09_26_drive_0093_0000000357|2011_09_26_drive_0093_0000000358|2011_09_26_drive_0093_0000000359|2011_09_26_drive_0093_0000000360|2011_09_26_drive_0093_0000000361|2011_09_26_drive_0093_0000000362|2011_09_26_drive_0093_0000000363|2011_09_26_drive_0093_0000000364|2011_09_26_drive_0093_0000000365|2011_09_26_drive_0093_0000000366|2011_09_26_drive_0093_0000000367|2011_09_26_drive_0093_0000000370|2011_09_26_drive_0093_0000000371|2011_09_26_drive_0093_0000000372|2011_09_26_drive_0093_0000000373|2011_09_26_drive_0093_0000000374|2011_09_26_drive_0093_0000000375|2011_09_26_drive_0093_0000000376|2011_09_26_drive_0093_0000000377|2011_09_26_drive_0093_0000000378|2011_09_26_drive_0093_0000000379|2011_09_26_drive_0093_0000000380|2011_09_26_drive_0093_0000000381,10.030003,100,,0,1.6832
73,l1_sor,17,0,48.99823458235326,8.468632610908365,48.99826543241262,8.468795877787485,12.429809097271473,0,0,15,0|1|2|3|4|5|6|7|9|11|12|13|14|15|16,2011_09_26_drive_0093_0000000356|2011_09_26_drive_0093_0000000357|2011_09_26_drive_0093_0000000358|2011_09_26_drive_0093_0000000359|2011_09_26_drive_0093_0000000360|2011_09_26_drive_0093_0000000361|2011_09_26_drive_0093_0000000362|2011_09_26_drive_0093_0000000363|2011_09_26_drive_0093_0000000365|2011_09_26_drive_0093_0000000367|2011_09_26_drive_0093_0000000368|2011_09_26_drive_0093_0000000369|2011_09_26_drive_0093_0000000370|2011_09_26_drive_0093_0000000371|2011_09_26_drive_0093_0000000372,7.959512,84,,0,0.8053
74,l1_sor,5,0,48.99828511502574,8.468874866032516,48.99829927833804,8.468912042226089,3.1434363829081664,0,0,0,,,,36,,1,0.1829
75,l1_sor,19,0,48.998273934262734,8.468764342122588,48.998315083117305,8.468916335458207,12.026643537689333,0,0,18,0|1|2|3|4|5|6|7|8|10|11|12|13|14|15|16|17|18,2011_09_26_drive_0093_0000000356|2011_09_26_drive_0093_0000000357|2011_09_26_drive_0093_0000000358|2011_09_26_drive_0093_0000000359|2011_09_26_drive_0093_0000000360|2011_09_26_drive_0093_0000000361|2011_09_26_drive_0093_0000000362|2011_09_26_drive_0093_0000000363|2011_09_26_drive_0093_0000000364|2011_09_26_drive_0093_0000000366|2011_09_26_drive_0093_0000000367|2011_09_26_drive_0093_0000000368|2011_09_26_drive_0093_0000000369|2011_09_26_drive_0093_0000000370|2011_09_26_drive_0093_0000000371|2011_09_26_drive_0093_0000000372|2011_09_26_drive_0093_0000000373|2011_09_26_drive_0093_0000000374,8.49152,100,,0,1.1364
76,l1_sor,19,0,48.998300940269324,8.468661438037806,48.99834323488168,8.468810583632907,11.884049193197237,0,0,18,0|1|2|3|4|5|6|7|8|10|11|12|13|14|15|16|17|18,2011_09_26_drive_0093_0000000360|2011_09_26_drive_0093_0000000361|2011_09_26_drive_0093_0000000362|2011_09_26_drive_0093_0000000363|2011_09_26_drive_0093_0000000364|2011_09_26_drive_0093_0000000365|2011_09_26_drive_0093_0000000366|2011_09_26_drive_0093_0000000367|2011_09_26_drive_0093_0000000368|2011_09_26_drive_0093_0000000370|2011_09_26_drive_0093_0000000371|2011_09_26_drive_0093_0000000372|2011_09_26_drive_0093_0000000373|2011_09_26_drive_0093_0000000374|2011_09_26_drive_0093_0000000375|2011_09_26_drive_0093_0000000376|2011_09_26_drive_0093_0000000377|2011_09_26_drive_0093_0000000378,8.485595,100,,0,0.7204
81,l1_sor,7,0,49.002347803225966,8.453479648104773,49.002343130266766,8.453483095631213,0.5776642806872584,1,1,4,0|1|5|6,2011_09_26_drive_0101_0000000426|2011_09_26_drive_0101_0000000427|2011_09_26_drive_0101_0000000431|2011_09_26_drive_0101_0000000432,4.501955,22,,0,0.2145
82,l1_sor,6,0,49.002473121292454,8.453460983299726,49.002462470315926,8.45350815604084,3.649133593156281,0,0,0,,,,199,,1,0.9436
84,l1_sor,8,0,49.00365023854202,8.446272100060073,49.0036701473211,8.446288123211048,2.505283325109251,0,0,4,0|3|6|7,2011_09_26_drive_0101_0000000744|2011_09_26_drive_0101_0000000747|2011_09_26_drive_0101_0000000750|2011_09_26_drive_0101_0000000751,4.789572,18,,0,1.0461
85,l1_sor,6,0,49.00431465814964,8.442605266148187,49.00429144228445,8.442728779993875,9.39852866761781,0,0,0,,,,133,,1,0.6122
87,l1_sor,19,0,49.00807914899238,8.431536669077815,49.00807479165934,8.431529704209325,0.7031764140784963,1,1,6,0|1|9|16|17|18,2011_09_26_drive_0104_0000000016|2011_09_26_drive_0104_0000000017|2011_09_26_drive_0104_0000000025|2011_09_26_drive_0104_0000000032|2011_09_26_drive_0104_0000000033|2011_09_26_drive_0104_0000000034,6.737441,12,,0,0.211
88,l1_sor,19,0,49.00810229997312,8.43157604083715,49.008100709764044,8.431586298261276,0.7709887233044302,1,1,3,5|6|18,2011_09_26_drive_0104_0000000021|2011_09_26_drive_0104_0000000022|2011_09_26_drive_0104_0000000034,6.01168,8,,0,0.2256
89,l1_sor,12,0,49.00820310132998,8.431725108315478,49.00830227321947,8.431615648050379,13.629596262471601,0,0,2,0|11,2011_09_26_drive_0104_0000000016|2011_09_26_drive_0104_0000000027,4.364049,7,,0,1.0082
90,l1_sor,19,0,49.00821444308903,8.431406504008118,49.00821987587946,8.431413403911858,0.7873066849538567,1,1,4,2|8|16|18,2011_09_26_drive_0104_0000000037|2011_09_26_drive_0104_0000000043|2011_09_26_drive_0104_0000000052|2011_09_26_drive_0104_0000000054,5.609144,9,,0,0.434
91,l1_sor,16,0,49.00816083118282,8.431291402323719,49.00816064060647,8.431292811341311,0.10523969037668479,1,1,2,0|5,2011_09_26_drive_0104_0000000057|2011_09_26_drive_0104_0000000062,3.996516,7,,0,1.0195
93,l1_sor,14,0,49.00843783479983,8.429822323278902,49.00843672999342,8.429827587058291,0.4042204320486192,1,1,1,2,2011_09_26_drive_0104_0000000198,3.916629,5,,0,0.4303
94,l1_sor,8,0,49.00846536404225,8.429611076572881,49.00846309359085,8.429609841353342,0.2681807829592044,1,1,0,,,2.555871,2,,0,0.9458
96,l1_sor,7,0,49.00868459528416,8.428853319067974,49.00869204906277,8.428851229941532,0.8429064184433659,1,1,0,,,1.687533,2,,0,0.1182
97,l1_sor,13,0,49.01100995506455,8.42316099917931,49.01103092799133,8.42313489202283,3.0145887954576445,0,0,7,1|4|7|9|10|11|12,2011_09_26_drive_0106_0000000205|2011_09_26_drive_0106_0000000208|2011_09_26_drive_0106_0000000211|2011_09_26_drive_0106_0000000213|2011_09_26_drive_0106_0000000214|2011_09_26_drive_0106_0000000215|2011_09_26_drive_0106_0000000216,5.884021,18,,0,0.486
98,l1_sor,18,0,49.01103223519366,8.42331639342192,49.01102946855454,8.423327173821457,0.8465398100460128,1,1,1,1,2011_09_26_drive_0106_0000000205,4.169485,5,,0,0.726
99,l1_sor,10,0,49.011153011045465,8.42310037587341,49.01110811622246,8.423125899437846,5.33047449795948,0,0,7,0|1|2|3|4|5|6,2011_09_26_drive_0106_0000000212|2011_09_26_drive_0106_0000000213|2011_09_26_drive_0106_0000000214|2011_09_26_drive_0106_0000000215|2011_09_26_drive_0106_0000000216|2011_09_26_drive_0106_0000000217|2011_09_26_drive_0106_0000000219,5.614255,28,,0,0.989
100,l1_sor,4,0,49.01515241965251,8.418157461077149,49.01515132082473,8.418160847649256,0.27622701367998237,1,1,0,,,,199,,1,0.9044
102,l1_sor,11,0,49.01108646329537,8.418038488066847,49.01108520403991,8.418042995885735,0.3582753813748112,1,1,0,,,3.058513,2,,0,0.1902
103,l1_sor,14,0,49.010963098127895,8.41788860267473,49.010862665161646,8.417824667702513,12.10892798638404,0,0,1,2,2011_09_28_drive_0002_0000000061,3.194638,6,,0,0.4152
105,l1_sor,8,0,49.00982512824335,8.417630552763955,49.00982304641679,8.4176336290623,0.3228787845698106,1,1,0,,,2.339992,2,,0,0.3859
106,l1_sor,8,0,49.008870241320295,8.397396734958466,49.00888031397546,8.397383875212636,1.4628439117972694,0,1,1,5,2011_09_29_drive_0071_0000000169,3.4235,7,,0,0.3795
108,l1_sor,17,0,49.050405435999025,8.396372696772696,49.05040373574427,8.396382177344005,0.7183430617877625,1,1,1,5,2011_09_30_drive_0018_0000000082,3.733353,6,,0,0.316
109,l1_sor,21,0,49.0510863071448,8.396294649069324,49.051091983077356,8.396305839225123,1.0332051222697831,0,1,2,0|1,2011_09_30_drive_0018_0000000740|2011_09_30_drive_0018_0000000741,5.15662,7,,0,0.4659
111,l1_sor,21,0,49.05108792023957,8.3962949285187,49.05109365983753,8.396307535131836,1.1209834396210678,0,1,2,3|9,2011_09_30_drive_0018_0000001487|2011_09_30_drive_0018_0000001493,4.66253,6,,0,0.192
112,l1_sor,21,0,49.049548162527124,8.396336112722725,49.049538844669435,8.39629783975774,2.9834639844919026,0,0,10,0|1|2|3|4|6|10|18|19|20,2011_09_30_drive_0018_0000002260|2011_09_30_drive_0018_0000002261|2011_09_30_drive_0018_0000002262|2011_09_30_drive_0018_0000002263|2011_09_30_drive_0018_0000002264|2011_09_30_drive_0018_0000002266|2011_09_30_drive_0018_0000002270|2011_09_30_drive_0018_0000002278|2011_09_30_drive_0018_0000002279|2011_09_30_drive_0018_0000002280,7.392462,18,,0,0.428
114,l1_sor,9,0,49.05148254742867,8.396044857879861,49.05146913603603,8.396055370838694,1.6778182713151244,0,1,0,,,1.645356,2,,0,0.2186
115,l1_sor,14,0,49.05207086774418,8.39585636854051,49.05206436642282,8.395865413355601,0.9797209000209691,1,1,1,2,2011_09_30_drive_0018_0000002662,4.407225,7,,0,0.3991
117,l1_sor,7,0,49.053300881281395,8.393674071254958,49.053309037566294,8.393673131180291,0.9096656507774636,1,1,0,,,1.767315,2,,0,0.1522
118,l1_sor,16,0,49.05348340454912,8.396630366103661,49.05348782661079,8.39665668833155,1.985838116957715,0,1,7,0|1|3|4|12|14|15,2011_09_30_drive_0020_0000000843|2011_09_30_drive_0020_0000000844|2011_09_30_drive_0020_0000000846|2011_09_30_drive_0020_0000000847|2011_09_30_drive_0020_0000000855|2011_09_30_drive_0020_0000000857|2011_09_30_drive_0020_0000000858,6.150398,16,,0,0.5053
119,l1_sor,7,0,49.05330161662387,8.393670693701402,49.053308995012976,8.393673173856262,0.8403430617735699,1,1,0,,,2.476714,3,,0,0.0804
120,l1_sor,16,0,48.98579473115869,8.394254135283099,48.98581402694546,8.3942980399286,3.86410697523695,0,0,3,0|2|3,2011_09_30_drive_0027_0000000105|2011_09_30_drive_0027_0000000107|2011_09_30_drive_0027_0000000108,3.936746,8,,0,0.3503
121,l1_sor,18,0,48.9865013813234,8.395654756374336,48.98648983325911,8.395664362701496,1.4641248272346448,0,1,1,8,2011_09_30_drive_0027_0000000440,3.529909,6,,0,0.246
122,l1_sor,10,0,48.98642007071952,8.39554208112334,48.986449876761135,8.395476550050772,5.830273930738702,0,0,1,1,2011_09_30_drive_0027_0000000441,2.938672,7,,0,0.1748
124,l1_sor,15,0,48.98667770142662,8.393774618802428,48.986675676913414,8.393752993425,1.5987224361548837,0,1,9,0|1|2|3|5|7|8|9|10,2011_09_30_drive_0027_0000000608|2011_09_30_drive_0027_0000000609|2011_09_30_drive_0027_0000000610|2011_09_30_drive_0027_0000000611|2011_09_30_drive_0027_0000000613|2011_09_30_drive_0027_0000000615|2011_09_30_drive_0027_0000000616|2011_09_30_drive_0027_0000000617|2011_09_30_drive_0027_0000000618,6.676453,24,,0,0.2652
125,l1_sor,15,0,48.986744775514325,8.393812769667921,48.98675227499934,8.39381796329511,0.9165567321036991,1,1,3,0|1|4,2011_09_30_drive_0027_0000000608|2011_09_30_drive_0027_0000000609|2011_09_30_drive_0027_0000000612,4.870747,9,,0,0.3251
126,l1_sor,27,0,48.986808147678886,8.393599662982707,48.98682160657178,8.393587491973694,1.7417869630352065,0,1,8,0|5|13|20|21|22|23|26,2011_09_30_drive_0027_0000000614|2011_09_30_drive_0027_0000000619|2011_09_30_drive_0027_0000000628|2011_09_30_drive_0027_0000000646|2011_09_30_drive_0027_0000000647|2011_09_30_drive_0027_0000000648|2011_09_30_drive_0027_0000000649|2011_09_30_drive_0027_0000000652,7.764367,10,,0,0.2525
127,l1_sor,7,0,48.98575603185689,8.392829623243214,48.98575191076279,8.392817411280369,1.0044740661968052,0,1,0,,,1.627953,2,,0,0.1462
130,l1_sor,16,0,48.98527846727847,8.393722284256423,48.98528424236844,8.39368695705649,2.664283441972739,0,0,10,0|1|2|3|4|10|12|13|14|15,2011_09_30_drive_0027_0000000994|2011_09_30_drive_0027_0000000995|2011_09_30_drive_0027_0000000996|2011_09_30_drive_0027_0000000997|2011_09_30_drive_0027_0000000998|2011_09_30_drive_0027_0000001004|2011_09_30_drive_0027_0000001006|2011_09_30_drive_0027_0000001007|2011_09_30_drive_0027_0000001008|2011_09_30_drive_0027_0000001009,7.292492,27,,0,1.1669
132,l1_sor,7,0,48.98483032795828,8.39470525860729,48.98482131635923,8.394696596088266,1.185903496331292,0,1,0,,,1.489563,2,,0,0.4913
133,l1_sor,5,0,48.98360529868199,8.396317793106416,48.983636898015256,8.396343108290827,3.972742533068926,0,0,0,,,,11,,1,0.0574
136,l1_sor,6,0,48.98772455305229,8.39822164525589,48.987703075613055,8.398253077554074,3.3162202986494616,0,0,0,,,,199,,1,0.9065
138,l1_sor,9,0,48.98636701885114,8.399427525905889,48.986343438830836,8.399386187955873,4.003849987391782,0,0,0,,,3.757313,3,,0,0.0864
139,l1_sor,7,0,48.98621971832607,8.399270801337597,48.986214771881215,8.399260438568499,0.9369524243923247,1,1,0,,,3.115647,2,,0,0.1386
141,l1_sor,15,0,48.98634798336674,8.399354430047845,48.98636397084218,8.399289575928034,5.068839788087544,0,0,2,13|14,2011_09_30_drive_0028_0000002488|2011_09_30_drive_0028_0000002489,4.648822,8,,0,0.2867
142,l1_sor,12,0,48.98621073672424,8.399342318748515,48.98620013745401,8.399339265078936,1.1997417624111155,0,1,2,10|11,2011_09_30_drive_0028_0000002499|2011_09_30_drive_0028_0000002501,3.748057,9,,0,1.0236
143,l1_sor,5,0,48.98615847183179,8.398612767119223,48.986101766560246,8.398534224426191,8.533188545283446,0,0,0,,,,9,,1,0.0542
144,l1_sor,11,0,48.98626316320236,8.398448905165152,48.9862849784411,8.398440341637096,2.5057188824327103,0,0,0,,,2.831577,2,,0,0.1459
145,l1_sor,4,0,48.986273148783134,8.398585875284263,48.98630989206851,8.398578418355688,4.122490109254772,0,0,0,,,,199,,1,0.9228
